"serial_id","ship_date","shipment_number","ship_to_location","packing_slip_number","po_number","po_line_number","lunar_part_number","part_description","qty","ship_method","tracking_number","ima_item_id","source_file","source_file_timestamp","_db_created_at","_db_modified_at"
P:10-06103CR:03S:QTL262202133,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL262202139,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL262202160,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL262202165,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL262202166,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL262202173,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL262202187,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL262202189,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL262202190,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL262202205,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
