Updated at,source_report,raw_part_number,lpn,description,item_category,procurementtype,location,storage_location,is_consigned,owned_by,unrestricted_qty,restricted_qty,unit_price,unrestricted_value,restricted_value,revision_number,row_type,uncommitted_qty
08-18-2026,Lunar Netsuite,10-001598,10-001598,RES SMD 1K OHM 1% 1/10W 0603,Electrical Components,OTS,JIT - Reno,NS,FALSE,Lunar Energy,945500,0,0.0017,1607.35,0,0,Unrestricted,725500
08-18-2026,CM: Sienna GA,10-001598 REV-01,10-001598,RES SMD 1K OHM 1% 1/10W 0603,Electrical Components,OTS,ATLN,RIQC,FALSE,Sienna Corporation,260000,0,0.0012,312,0,1,Unrestricted,260000
08-18-2026,CM: Sienna GA,10-001598 REV-01,10-001598,RES SMD 1K OHM 1% 1/10W 0603,Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,78068,0,0.0012,93.6816,0,1,Unrestricted,78068
08-18-2026,CM: Sienna GA,C10-001598 REV-01,10-001598,RES SMD 1K OHM 1% 1/10W 0603,Electrical Components,OTS,ATLN,WT51,TRUE,Lunar Energy,190000,0,0,0,0,1,Unrestricted,190000
08-18-2026,Lunar Netsuite,10-001598,10-001598,RES SMD 1K OHM 1% 1/10W 0603,Electrical Components,OTS,NexGen Digital Inc,NS,FALSE,Lunar Energy,1135000,0,0.0017,1929.5,0,0,Unrestricted,1135000
08-18-2026,Lunar Netsuite,10-001598,10-001598,RES SMD 1K OHM 1% 1/10W 0603,Electrical Components,OTS,Sienna Corporation - GA,NS,FALSE,Lunar Energy,190000,0,0.0017,323,0,0,Unrestricted,0
08-18-2026,CM: Qualitel WA,814L-10-001602,10-001602,RES SMD 115K OHM 1% 1/10W 0603,Electrical Components,OTS,"Seattle, WA",MRB,FALSE,Qualitel,0,100,0.0012,0,0.12,0,Restricted,0
08-18-2026,CM: Qualitel WA,814L-10-001602,10-001602,RES SMD 115K OHM 1% 1/10W 0603,Electrical Components,OTS,"Seattle, WA",Stock,FALSE,Qualitel,30904,0,0.0012,37.0848,0,0,Unrestricted,30904
08-18-2026,CM: Qualitel WA,814L-10-001602,10-001602,RES SMD 115K OHM 1% 1/10W 0603,Electrical Components,OTS,"Seattle, WA",PO Inspection,FALSE,Qualitel,0,100,0.0012,0,0.12,0,Restricted,0
08-18-2026,Lunar Netsuite,10-001602,10-001602,RES SMD 115K OHM 1% 1/10W 0603,Electrical Components,OTS,CA - Ravendale,NS,FALSE,Lunar Energy,5000,0,0.0012,6,0,0,Unrestricted,5000
