"serial_number","shipped_date","shipment_number","ship_to","packing_slip_number","po_number","po_line_number","customer_part_number","pallet_id","quantity","lot_code","master_carton_id","source_file","source_file_timestamp","_db_created_at","_db_modified_at"
P:10-00522DR:01S:SIE260303505,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512708,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:01S:SIE260303912,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512715,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:01S:SIE260303999,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512712,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:01S:SIE260304137,2026-07-30 17:00:00,SFOHOUT00052412,,93248292,PO-US-08015,,10-00522D,202607105,1,,P:90-06831DR:02S:SIE262512714,PO-US-08015 shipped 073126 ASN 93248292 Qty 240 POUS08933 A8401 Q324 POUS08008 A8402 Q110 POUS08625 A8452 Q270 POUS08013 A8453 Q13 POUS09054 A8454 Q50 POUS08885 A93248457 Q10 POUS09166 A93248460 Q2400.xlsx,2026-07-31 17:45:36,2026-07-31 17:45:43,2026-07-31 17:45:43
P:10-00522DR:01S:SIE260304138,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512712,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:01S:SIE260304152,2026-07-30 17:00:00,SFOHOUT00052412,,93248292,PO-US-08015,,10-00522D,202607105,1,,P:90-06831DR:02S:SIE262512714,PO-US-08015 shipped 073126 ASN 93248292 Qty 240 POUS08933 A8401 Q324 POUS08008 A8402 Q110 POUS08625 A8452 Q270 POUS08013 A8453 Q13 POUS09054 A8454 Q50 POUS08885 A93248457 Q10 POUS09166 A93248460 Q2400.xlsx,2026-07-31 17:45:36,2026-07-31 17:45:43,2026-07-31 17:45:43
P:10-00522DR:01S:SIE260304154,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512716,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:01S:SIE260304467,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512708,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:01S:SIE260304863,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512708,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:01S:SIE260305332,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512709,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:01S:SIE260305446,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512709,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:01S:SIE260305453,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512710,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:02S:SIE260501534,2026-07-30 17:00:00,SFOHOUT00052412,,93248292,PO-US-08015,,10-00522D,202607105,1,,P:90-06831DR:02S:SIE262512714,PO-US-08015 shipped 073126 ASN 93248292 Qty 240 POUS08933 A8401 Q324 POUS08008 A8402 Q110 POUS08625 A8452 Q270 POUS08013 A8453 Q13 POUS09054 A8454 Q50 POUS08885 A93248457 Q10 POUS09166 A93248460 Q2400.xlsx,2026-07-31 17:45:36,2026-07-31 17:45:43,2026-07-31 17:45:43
P:10-00522DR:02S:SIE260501676,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512712,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:02S:SIE260502926,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512711,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:02S:SIE260503414,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512710,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:02S:SIE260609271,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512710,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:02S:SIE260609523,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512716,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:02S:SIE260609974,2026-07-30 17:00:00,SFOHOUT00052412,,93248292,PO-US-08015,,10-00522D,202607105,1,,P:90-06831DR:02S:SIE262512714,PO-US-08015 shipped 073126 ASN 93248292 Qty 240 POUS08933 A8401 Q324 POUS08008 A8402 Q110 POUS08625 A8452 Q270 POUS08013 A8453 Q13 POUS09054 A8454 Q50 POUS08885 A93248457 Q10 POUS09166 A93248460 Q2400.xlsx,2026-07-31 17:45:36,2026-07-31 17:45:43,2026-07-31 17:45:43
P:10-00522DR:02S:SIE260610419,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512712,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:02S:SIE260610681,2026-07-30 17:00:00,SFOHOUT00052412,,93248292,PO-US-08015,,10-00522D,202607105,1,,P:90-06831DR:02S:SIE262512714,PO-US-08015 shipped 073126 ASN 93248292 Qty 240 POUS08933 A8401 Q324 POUS08008 A8402 Q110 POUS08625 A8452 Q270 POUS08013 A8453 Q13 POUS09054 A8454 Q50 POUS08885 A93248457 Q10 POUS09166 A93248460 Q2400.xlsx,2026-07-31 17:45:36,2026-07-31 17:45:43,2026-07-31 17:45:43
P:10-00522DR:02S:SIE260610704,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512712,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:02S:SIE260611428,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512712,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:02S:SIE260611523,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512712,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:02S:SIE260801354,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512715,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:02S:SIE260801537,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512712,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:02S:SIE260801627,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512713,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:02S:SIE260801898,2026-07-30 17:00:00,SFOHOUT00052412,,93248292,PO-US-08015,,10-00522D,202607105,1,,P:90-06831DR:02S:SIE262512714,PO-US-08015 shipped 073126 ASN 93248292 Qty 240 POUS08933 A8401 Q324 POUS08008 A8402 Q110 POUS08625 A8452 Q270 POUS08013 A8453 Q13 POUS09054 A8454 Q50 POUS08885 A93248457 Q10 POUS09166 A93248460 Q2400.xlsx,2026-07-31 17:45:36,2026-07-31 17:45:43,2026-07-31 17:45:43
P:10-00522DR:02S:SIE260802556,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512717,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:02S:SIE260803293,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512709,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:02S:SIE260803836,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512717,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
